▼Profit,▼Profit.1,Bookmaker,▲▼,Event,Market,Odds,Unnamed: 7,Unnamed: 8
,1.00%  1m,Sports​Bet Football,14/05 18:30,SV Gonsenheim – FK 03 Pirmasens germany - Oberliga,AH2(+0.25),1.89,○,
,1.00%  1m,Pin​nacle Football,14/05 18:30,SV Gonsenheim – FK Pirmasens Germany - Oberliga Rheinland-Pfalz/Saar,AH1(0),1.900,●,
,1.00%  1m,Lv​bet Football,14/05 18:30,SV Gonsenheim – FK 03 Pirmasens Germany - Oberliga,1,2.45,○,
,1.00%  1m,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,
,1.00%  1m,Pin​nacle Football,14/05 18:00,Eskilstuna United DFF – Jitex BK Sweden - Elitettan Women,AH1(+0.25) 1st period,1.719,●,
,1.00%  1m,Sport​ium (CO) Football,14/05 18:00,Eskilstuna United (W) – Jitex BK (W) Sweden - Elitettan Women,X 1st period,2.30,,
,1.00%  1m,Tempo​Bet Football,14/05 18:00,Eskilstuna United Df – Jitex Dff Sweden Amateur - Norrettan Women,2 1st period,3.15,○,
,1.00%  1m,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,
,1.00%  18m,Pin​nacle Handball,14/05 20:30,CSM Galati – CS Magura Cisnadie Romania Liga Nationala Women,AH1(+4),2.210,,
,1.00%  18m,Leon Handball,14/05 20:30,"Галаци – Магура Чиснэдие Румыния - Национальная Лига, Женщины",AH2(−4),1.86,●,
,1.00%  18m,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,
,1.00%  5h,Novi​Bet Football,15/05 18:30,Diagoras Rodou – Iraklis Greece - Super League 2,Over 2,1.86,●,
,1.00%  5h,Pin​nacle Football,15/05 18:30,Diagoras Rhodes – Iraklis 1908 Greece - Super League 2,Under 2,2.210,,
,1.00%  5h,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,
,1.00%  1h,Dafa​bet (Dafa Sports) Volleyball,14/05 16:30,"South Gas Club – Shahdab Yazd Volleyball / International / Asian Club Championship, Group B",AH1(+4.5) 1st set,2.01,●,
,1.00%  1h,Pin​nacle Volleyball,14/05 16:30,South Gas Club – Shahdab Yazd Asia Club Championship,AH2(−4.5) 1st set,2.030,○,
,1.00%  1h,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,
,1.00%  3h,Pin​nacle Football,14/05 21:00,Arsenal – Brighton and Hove Albion England - Premier League,1 to win to nil,4.270,,
,1.00%  3h,Fon​Bet Football,14/05 21:00,Арсенал – Брайтон Футбол. Англия. Премьер-Лига,Goals: Yes 2nd team,1.40,●,
,1.00%  3h,Betsul Football,14/05 21:00,Arsenal FC – Brighton & Hove Albion FC Inglaterra - Premier League,Total =0,24.01,,
,1.00%  3h,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,
,1.00%  4h,Leon Football,14/05 22:00,Юнион Сен-Жиль – Генк Бельгия - Высшая Лига,AH1(+1) - corners,1.49,●,
,1.00%  4h,Pin​nacle Football,14/05 22:00,Union Saint-Gilloise – Genk Belgium - First Division A Corners,AH2(−0.5) - corners,2.390,,
,1.00%  4h,Bet​Victor Football,14/05 22:00,Union St Gilloise – Genk BEL Jupiler,2(1:0) - corners,3.70,,
,1.00%  4h,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,
,1.00%  20h,Cool​Bet Football,14/05 18:30,Vålerenga Women – FK Lyn Women Norway - Toppserien,1 / DNB,1.12,●,
,1.00%  20h,TOTOgaming Football,14/05 18:30,Valerenga(W) – Lyn(W) Norway - Women. Norway. Toppserien,X,7.00,,
,1.00%  20h,Pin​nacle Football,14/05 18:30,Valerenga IF – Lyn Norway - Toppserien Women,2,12.000,,
,1.00%  20h,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,
,1.00%  1m,18​Bet Football,14/05 18:30,Brann B – Baerum Norway - Norway Second Division,AH1(+0.25),1.95,●,
,1.00%  1m,Pin​nacle Football,14/05 18:30,SK Brann 2 – Baerum SK Norway - 2nd Division,X,3.610,,
,1.00%  1m,Win​line (RU) Football,14/05 18:30,Бранн 2 – Берум Норвегия - 2-й Дивизион,2,2.44,○,
,1.00%  1m,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,
,1.00%  5h,Bet365 Football,14/05 23:30,Social Atletico Television Women – CA Independiente Women Argentina Championship Women,1 / DNB,4.33,●,
,1.00%  5h,Sport​ium (CO) Football,14/05 23:30,Social Atletico Television (W) – CA Independiente (W) Argentina - Primera A Women,X,4.25,○,
